NM_URNA_CANDIDATO,SG_PARTIDO,IDEOLOGIA_PARTIDO,SG_UF,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,VR_BEM_CANDIDATO,AGRUPAMENTO_BENS,DS_GRAU_INSTRUCAO,DS_OCUPACAO,ST_REELEICAO,NM_EMAIL,NR_CANDIDATO
EDSON APARECIDO,MDB,Centro,SP,MASCULINO,BRANCA,65.0,5571194.0,BENS_G1,SUPERIOR COMPLETO,SERVIDOR PÚBLICO CIVIL APOSENTADO,N,NÃO DIVULGÁVEL,155
ALVARO DIAS,PODE,Direita,PR,MASCULINO,BRANCA,78.0,2220952.0,BENS_G1,SUPERIOR COMPLETO,SENADOR,S,NÃO DIVULGÁVEL,190
RICARDO MELLÃO,NOVO,Direita,SP,MASCULINO,BRANCA,37.0,233895.0,BENS_G3,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,300
SARA AZEVEDO,PSOL,Esquerda,MG,FEMININO,PARDA,37.0,45609.0,BENS_G4,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,500
CARLOS EDUARDO,PDT,Esquerda,RN,MASCULINO,PARDA,63.0,2877489.0,BENS_G1,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,123
JEFERSON BEZERRA,AGIR,Direita,MS,MASCULINO,PARDA,49.0,nan,nan,SUPERIOR COMPLETO,JORNALISTA E REDATOR,N,NÃO DIVULGÁVEL,368
MÁRCIO FRANÇA,PSB,Esquerda,SP,MASCULINO,BRANCA,59.0,267420.0,BENS_G3,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,400
EUGÊNIA LIMA,PSOL,Esquerda,PE,FEMININO,PARDA,39.0,nan,nan,SUPERIOR COMPLETO,OCUPANTE DE CARGO EM COMISSÃO,N,NÃO DIVULGÁVEL,500
ALBETIZA MOREIRA,PCO,Esquerda,PI,FEMININO,BRANCA,54.0,140000.0,BENS_G3,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,290
DRA ROSANGELA LÁZARO,AGIR,Direita,RO,FEMININO,PARDA,59.0,nan,nan,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,364
ANIZIO TOCCHIO,PSOL,Esquerda,MS,MASCULINO,BRANCA,50.0,150000.0,BENS_G3,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,500
ITAGIBA,AVANTE,Centro,RJ,MASCULINO,BRANCA,66.0,240145.0,BENS_G3,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,700
SUED HAIDAR ,PMB,Direita,RJ,FEMININO,PRETA,64.0,150000.0,BENS_G3,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,355
ALEXANDRE SOARES,PSOL,Esquerda,PB,MASCULINO,PARDA,45.0,556000.0,BENS_G2,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,N,NÃO DIVULGÁVEL,500
ANTONIA CARIONGO,PSOL,Esquerda,MA,FEMININO,PRETA,43.0,6000.0,BENS_G4,SUPERIOR INCOMPLETO,TRABALHADOR RURAL,N,NÃO DIVULGÁVEL,500
MARANHÃO DO POVÃO,PDT,Esquerda,RR,MASCULINO,PARDA,50.0,264000.0,BENS_G3,ENSINO FUNDAMENTAL COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,123
DENISE CARVALHO,PC do B,Esquerda,GO,FEMININO,BRANCA,60.0,771746.0,BENS_G1,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,651
OLÍVIO DUTRA,PT,Esquerda,RS,MASCULINO,BRANCA,81.0,2163318.0,BENS_G1,SUPERIOR COMPLETO,SERVIDOR PÚBLICO CIVIL APOSENTADO,N,NÃO DIVULGÁVEL,131
CARLOS RODRIGUES,PSD,Direita,DF,MASCULINO,PARDA,62.0,2748006.0,BENS_G1,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,555
BETO FARO,PT,Esquerda,PA,MASCULINO,PRETA,53.0,1467000.0,BENS_G1,ENSINO FUNDAMENTAL COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,131
CARLOS AMASTHA,PSB,Esquerda,TO,MASCULINO,AMARELA,62.0,6936376.0,BENS_G1,SUPERIOR INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,400
JANAINA PASCHOAL,PRTB,Direita,SP,FEMININO,BRANCA,48.0,2988536.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,287
DAMARES ALVES,REPUBLICANOS,Direita,DF,FEMININO,BRANCA,58.0,525032.0,BENS_G2,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,100
PASTOR JOSINELIO,PMB,Direita,RO,MASCULINO,PRETA,46.0,50000.0,BENS_G4,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,355
MAGNO MALTA,PL,Direita,ES,MASCULINO,PRETA,65.0,657165.0,BENS_G2,SUPERIOR COMPLETO,MÚSICO,N,NÃO DIVULGÁVEL,222
GILBERTO LAURINDO,PATRIOTA,Direita,AP,MASCULINO,BRANCA,61.0,883500.0,BENS_G1,SUPERIOR COMPLETO,ENGENHEIRO,N,NÃO DIVULGÁVEL,510
KAMILA CARDOSO,AVANTE,Centro,CE,FEMININO,PARDA,44.0,891283.0,BENS_G1,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,700
DIMAS SANDAS,AGIR,Direita,AC,MASCULINO,PRETA,41.0,225000.0,BENS_G3,SUPERIOR COMPLETO,JORNALISTA E REDATOR,N,NÃO DIVULGÁVEL,364
WELLINGTON FAGUNDES,PL,Direita,MT,MASCULINO,BRANCA,65.0,9070350.0,BENS_G1,SUPERIOR COMPLETO,SENADOR,S,NÃO DIVULGÁVEL,222
COMANDANTE NÁDIA,PP,Direita,RS,FEMININO,BRANCA,54.0,1243859.0,BENS_G1,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,111
DR ILDERSON,PTB,Direita,RR,MASCULINO,BRANCA,39.0,280000.0,BENS_G2,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,144
ALEXANDRE SILVEIRA,PSD,Direita,MG,MASCULINO,BRANCA,52.0,8595061.0,BENS_G1,SUPERIOR COMPLETO,EMPRESÁRIO,S,NÃO DIVULGÁVEL,555
RAIMUNDO COLOMBO,PSD,Direita,SC,MASCULINO,BRANCA,67.0,2576307.0,BENS_G1,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,551
VILELA DO PT,PT,Esquerda,TO,MASCULINO,BRANCA,64.0,1751667.0,BENS_G1,SUPERIOR INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,131
ALDO REBELO,PDT,Esquerda,SP,MASCULINO,PARDA,66.0,779638.0,BENS_G1,SUPERIOR INCOMPLETO,JORNALISTA E REDATOR,N,NÃO DIVULGÁVEL,123
CABO DACIOLO,PDT,Esquerda,RJ,MASCULINO,PARDA,46.0,64650.0,BENS_G4,SUPERIOR COMPLETO,BOMBEIRO MILITAR,N,NÃO DIVULGÁVEL,120
HILDA DEOLA,PDT,Esquerda,SC,FEMININO,BRANCA,58.0,350.0,BENS_G4,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,123
ERICK MUSSO,REPUBLICANOS,Direita,ES,MASCULINO,BRANCA,35.0,448552.0,BENS_G2,SUPERIOR INCOMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,100
DR. JORGE YANAI,DC,Direita,MT,MASCULINO,BRANCA,74.0,3296583.0,BENS_G1,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,270
ANTONIO BUNGENSTAB,PRTB,Direita,ES,MASCULINO,BRANCA,70.0,550000.0,BENS_G2,SUPERIOR COMPLETO,ECONOMISTA,N,NÃO DIVULGÁVEL,288
NEY AMORIM,PODE,Direita,AC,MASCULINO,BRANCA,46.0,450000.0,BENS_G2,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,199
TEREZA CRISTINA,PP,Direita,MS,FEMININO,BRANCA,68.0,5677999.0,BENS_G1,SUPERIOR COMPLETO,ENGENHEIRO,N,NÃO DIVULGÁVEL,111
GILSON MACHADO,PL,Direita,PE,MASCULINO,BRANCA,54.0,1729308.0,BENS_G1,SUPERIOR COMPLETO,VETERINÁRIO,N,NÃO DIVULGÁVEL,222
CORONEL LUGATO,DC,Direita,ES,MASCULINO,BRANCA,65.0,40000.0,BENS_G4,SUPERIOR COMPLETO,MILITAR REFORMADO,N,NÃO DIVULGÁVEL,277
BÁRBARA SINEDINO,PSTU,Esquerda,RJ,FEMININO,BRANCA,36.0,82000.0,BENS_G3,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,160
AIRTON COSTA,DC,Direita,SE,MASCULINO,BRANCA,60.0,250000.0,BENS_G3,SUPERIOR COMPLETO,REPRESENTANTE COMERCIAL,N,NÃO DIVULGÁVEL,270
JAIME BAGATTOLI,PL,Direita,RO,MASCULINO,BRANCA,61.0,55742222.0,BENS_G1,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,222
ROMÁRIO,PL,Direita,RJ,MASCULINO,PRETA,57.0,684228.0,BENS_G2,SUPERIOR INCOMPLETO,SENADOR,S,NÃO DIVULGÁVEL,222
DR. AZKOUL,DC,Direita,SP,MASCULINO,BRANCA,64.0,2367724.0,BENS_G1,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,270
NAZARÉ ARAÚJO,PT,Esquerda,AC,FEMININO,BRANCA,56.0,3528621.0,BENS_G1,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,131
SUELI PINI,PRTB,Direita,AP,FEMININO,BRANCA,63.0,1040000.0,BENS_G1,SUPERIOR COMPLETO,SERVIDOR PÚBLICO CIVIL APOSENTADO,N,NÃO DIVULGÁVEL,288
ALAN RICK,UNIÃO,Direita,AC,MASCULINO,BRANCA,46.0,2121473.0,BENS_G1,SUPERIOR COMPLETO,"SENADOR, DEPUTADO E VEREADOR",N,NÃO DIVULGÁVEL,444
FABIANA SANGUINÉ,PSTU,Esquerda,RS,FEMININO,BRANCA,45.0,109000.0,BENS_G3,SUPERIOR COMPLETO,SERVIDOR PÚBLICO MUNICIPAL,N,NÃO DIVULGÁVEL,160
JOÃO CAMPOS,REPUBLICANOS,Direita,GO,MASCULINO,BRANCA,60.0,1303794.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,100
EFRAIM FILHO,UNIÃO,Direita,PB,MASCULINO,BRANCA,43.0,785350.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,444
LÚCIA VIANA,PSOL,Esquerda,TO,FEMININO,PARDA,61.0,1282694.0,BENS_G1,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,500
PASTOR ALTAMIRO ALVES,PTB,Direita,MG,MASCULINO,PARDA,69.0,1080000.0,BENS_G1,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,142
SERGIO QUEIROZ,PRTB,Direita,PB,MASCULINO,BRANCA,50.0,626864.0,BENS_G2,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,282
CARLOS ANDRADE LIMA,UNIÃO,Direita,PE,MASCULINO,BRANCA,41.0,3289727.0,BENS_G1,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,444
HAMILTON MOURÃO,REPUBLICANOS,Direita,RS,MASCULINO,INDÍGENA,69.0,1145762.0,BENS_G1,SUPERIOR COMPLETO,MEMBRO DAS FORÇAS ARMADAS,N,NÃO DIVULGÁVEL,100
DR. HIRAN,PP,Direita,RR,MASCULINO,PARDA,65.0,532088.0,BENS_G2,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,111
ROBERTO FRANÇA DA SILVA JUNIOR,PCO,Esquerda,PR,MASCULINO,BRANCA,46.0,283083.0,BENS_G2,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,290
DR SABOIA,PMN,Esquerda,PR,MASCULINO,BRANCA,75.0,2027853.0,BENS_G1,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,337
JOSÉ ROBERTO,PSOL,Esquerda,MT,MASCULINO,PARDA,60.0,125000.0,BENS_G3,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,500
BRUNO ROBERTO,PL,Direita,PB,MASCULINO,BRANCA,35.0,8458376.0,BENS_G1,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,222
FLEXA RIBEIRO,PP,Direita,PA,MASCULINO,BRANCA,77.0,9866549.0,BENS_G1,SUPERIOR COMPLETO,ENGENHEIRO,N,NÃO DIVULGÁVEL,111
RAUL,UP,Esquerda,RJ,MASCULINO,BRANCA,46.0,42668.0,BENS_G4,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,800
MARCOS DO MLB,UP,Esquerda,RN,MASCULINO,PRETA,49.0,nan,nan,LÊ E ESCREVE,ELETRICISTA E ASSEMELHADOS,N,NÃO DIVULGÁVEL,800
MARIO AGRA,PSOL,Esquerda,AL,MASCULINO,PARDA,67.0,105000.0,BENS_G3,SUPERIOR COMPLETO,SERVIDOR PÚBLICO CIVIL APOSENTADO,N,NÃO DIVULGÁVEL,500
MARIANA CARVALHO,REPUBLICANOS,Direita,RO,FEMININO,PARDA,36.0,3014427.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,100
VALADARES FILHO,PSB,Esquerda,SE,MASCULINO,BRANCA,42.0,400194.0,BENS_G2,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,404
BRUNO MIRANDA,PDT,Esquerda,MG,MASCULINO,BRANCA,43.0,450000.0,BENS_G2,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,123
DAVI,UNIÃO,Direita,AP,MASCULINO,BRANCA,45.0,955605.0,BENS_G1,ENSINO MÉDIO COMPLETO,SENADOR,S,NÃO DIVULGÁVEL,444
WILDER MORAIS,PL,Direita,GO,MASCULINO,BRANCA,54.0,41485045.0,BENS_G1,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,222
DR. EDUARDO AMORIM,PL,Direita,SE,MASCULINO,BRANCA,59.0,911257.0,BENS_G1,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,222
PAULO MARTINS,PL,Direita,PR,MASCULINO,PARDA,41.0,302990.0,BENS_G2,SUPERIOR INCOMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,222
NELSON JUNIOR,AVANTE,Centro,ES,MASCULINO,BRANCA,46.0,1056380.0,BENS_G1,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,700
ROSILENE CORRÊA,PT,Esquerda,DF,FEMININO,BRANCA,58.0,97970.0,BENS_G3,SUPERIOR COMPLETO,SERVIDOR PÚBLICO CIVIL APOSENTADO,N,NÃO DIVULGÁVEL,133
PROFESSOR AJOSÉ,PMN,Esquerda,PI,MASCULINO,BRANCA,48.0,245000.0,BENS_G3,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,333
CLEITINHO,PSC,Direita,MG,MASCULINO,BRANCA,40.0,544571.0,BENS_G2,ENSINO MÉDIO COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,200
PAULO ROSA,DC,Direita,RS,MASCULINO,BRANCA,54.0,nan,nan,ENSINO MÉDIO INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,270
ANDRÉ DE PAULA,PSD,Direita,PE,MASCULINO,BRANCA,61.0,1524699.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,555
KATIA,PP,Direita,TO,FEMININO,BRANCA,60.0,4928538.0,BENS_G1,SUPERIOR COMPLETO,SENADOR,S,NÃO DIVULGÁVEL,111
HERALDO GOES,PSTU,Esquerda,SE,MASCULINO,PARDA,56.0,132000.0,BENS_G3,ENSINO MÉDIO COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,161
CARONE,AGIR,Direita,ES,MASCULINO,BRANCA,75.0,9990.0,BENS_G4,ENSINO FUNDAMENTAL INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,366
LAÉRCIO,PP,Direita,SE,MASCULINO,NÃO INFORMADO,63.0,4589727.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,111
MARCONI PERILLO,PSDB,Centro,GO,MASCULINO,BRANCA,59.0,7352617.0,BENS_G1,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,456
TELMARIO MOTA,PROS,Centro,RR,MASCULINO,BRANCA,64.0,3528550.0,BENS_G1,SUPERIOR COMPLETO,ECONOMISTA,S,NÃO DIVULGÁVEL,903
JAQUELINE CASSOL,PP,Direita,RO,FEMININO,BRANCA,48.0,11928377.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,111
GILMAR SALGADO,PSTU,Esquerda,SC,MASCULINO,BRANCA,62.0,585000.0,BENS_G2,SUPERIOR COMPLETO,SERVIDOR PÚBLICO CIVIL APOSENTADO,N,NÃO DIVULGÁVEL,161
GERVÁSIO SANTOS,PSTU,Esquerda,PI,MASCULINO,PRETA,56.0,150000.0,BENS_G3,SUPERIOR COMPLETO,PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,N,NÃO DIVULGÁVEL,166
ALESSANDRO MOLON,PSB,Esquerda,RJ,MASCULINO,BRANCA,51.0,1578919.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,400
FILIPE SKITER,PSTU,Esquerda,ES,MASCULINO,PRETA,38.0,nan,nan,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,161
CANTOR ESTEVES JACINTO,PRTB,Direita,PE,MASCULINO,PARDA,56.0,nan,nan,ENSINO MÉDIO COMPLETO,CANTOR E COMPOSITOR,N,NÃO DIVULGÁVEL,281
PASTOR CLAUDEMIR LOPES,PATRIOTA,Direita,TO,MASCULINO,PARDA,50.0,50000.0,BENS_G4,ENSINO MÉDIO COMPLETO,"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES",N,NÃO DIVULGÁVEL,510
TÂMARA AZEVEDO,PSOL,Esquerda,BA,FEMININO,PRETA,49.0,340000.0,BENS_G2,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,500
SABBÁ,PMB,Direita,PA,MASCULINO,PRETA,50.0,686298.0,BENS_G2,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,355
MARCELO ARO,PP,Direita,MG,MASCULINO,BRANCA,35.0,4834448.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,111
