NM_URNA_CANDIDATO,SG_PARTIDO,IDEOLOGIA_PARTIDO,SG_UF,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,VR_BEM_CANDIDATO,AGRUPAMENTO_BENS,DS_GRAU_INSTRUCAO,DS_OCUPACAO,ST_REELEICAO,NM_EMAIL,NR_CANDIDATO
MARCELO HIPÓLITO,PTB,Direita,DF,MASCULINO,BRANCA,52.0,405723.0,BENS_G2,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,142
VETERINARIA SHIRLEI MEDEIROS,DC,Direita,RN,FEMININO,BRANCA,41.0,20739.0,BENS_G4,SUPERIOR COMPLETO,VETERINÁRIO,N,NÃO DIVULGÁVEL,270
KENNEDY NUNES,PTB,Direita,SC,MASCULINO,BRANCA,53.0,867454.0,BENS_G1,SUPERIOR COMPLETO,JORNALISTA E REDATOR,N,NÃO DIVULGÁVEL,142
MARIO COUTO,PL,Direita,PA,MASCULINO,PARDA,77.0,465727.0,BENS_G2,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,222
GILBERTO CAMPOS COLETIVA,PSOL,Esquerda,ES,MASCULINO,PRETA,65.0,860307.0,BENS_G1,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,500
CAPI,PSB,Esquerda,AP,MASCULINO,PARDA,75.0,201602.0,BENS_G3,SUPERIOR COMPLETO,ZOOTECNISTA,N,NÃO DIVULGÁVEL,401
PROFESSOR TIAGO BOTELHO,PT,Esquerda,MS,MASCULINO,BRANCA,39.0,927126.0,BENS_G1,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,N,NÃO DIVULGÁVEL,133
ROGÉRIO MARINHO,PL,Direita,RN,MASCULINO,PARDA,59.0,1984484.0,BENS_G1,SUPERIOR COMPLETO,MINISTRO DE ESTADO,N,NÃO DIVULGÁVEL,222
FELICIANO AZUAGA,NOVO,Direita,MT,MASCULINO,PARDA,42.0,350480.0,BENS_G2,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,300
JUIZ ODILON,PSD,Direita,MS,MASCULINO,PARDA,73.0,1433031.0,BENS_G1,SUPERIOR COMPLETO,SERVIDOR PÚBLICO CIVIL APOSENTADO,N,NÃO DIVULGÁVEL,555
AFRÂNIO BOPPRÉ,PSOL,Esquerda,SC,MASCULINO,BRANCA,62.0,1318099.0,BENS_G1,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,500
LAERSON MATIAS,PSOL,Esquerda,PR,MASCULINO,BRANCA,60.0,858249.0,BENS_G1,SUPERIOR INCOMPLETO,BANCÁRIO E ECONOMIÁRIO,N,NÃO DIVULGÁVEL,500
KÁSSIO COELHO,PATRIOTA,Direita,MT,MASCULINO,BRANCA,43.0,430021.0,BENS_G2,ENSINO MÉDIO INCOMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,510
VILMAR ROCHA,PSD,Direita,GO,MASCULINO,PARDA,71.0,1988743.0,BENS_G1,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,N,NÃO DIVULGÁVEL,555
RENAN FILHO,MDB,Centro,AL,MASCULINO,BRANCA,43.0,1368669.0,BENS_G1,SUPERIOR COMPLETO,ECONOMISTA,N,NÃO DIVULGÁVEL,151
ANDREA SCHMIDT,PMB,Direita,TO,FEMININO,BRANCA,53.0,1280000.0,BENS_G1,SUPERIOR COMPLETO,AGRÔNOMO,N,NÃO DIVULGÁVEL,353
PROF. TITO BELLINI,PCB,Esquerda,SP,MASCULINO,BRANCA,46.0,104000.0,BENS_G3,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,N,NÃO DIVULGÁVEL,211
ANTÔNIO GALVAN,PTB,Direita,MT,MASCULINO,BRANCA,65.0,14092852.0,BENS_G1,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,144
LEONARDO RIZZO,NOVO,Direita,GO,MASCULINO,BRANCA,66.0,16049775.0,BENS_G1,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,300
CLARISSA,UNIÃO,Direita,RJ,FEMININO,BRANCA,40.0,355937.0,BENS_G2,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,444
GUARACY,PTB,Direita,AP,MASCULINO,BRANCA,48.0,5325000.0,BENS_G1,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,145
ARTHUR NETO,PSDB,Centro,AM,MASCULINO,BRANCA,77.0,2566758.0,BENS_G1,SUPERIOR COMPLETO,DIPLOMATA,N,NÃO DIVULGÁVEL,451
VIVIAN MENDES,UP,Esquerda,SP,FEMININO,BRANCA,42.0,116595.0,BENS_G3,SUPERIOR COMPLETO,RELAÇÕES-PÚBLICAS,N,NÃO DIVULGÁVEL,800
ANA AMÉLIA LEMOS,PSD,Direita,RS,FEMININO,BRANCA,77.0,6063946.0,BENS_G1,SUPERIOR COMPLETO,JORNALISTA E REDATOR,N,NÃO DIVULGÁVEL,555
ALINE SLEUTJES,PROS,Centro,PR,FEMININO,BRANCA,43.0,457425.0,BENS_G2,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,900
BESSA,SOLIDARIEDADE,Centro,AM,MASCULINO,BRANCA,49.0,191194.0,BENS_G3,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,777
ASTRONAUTA MARCOS PONTES,PL,Direita,SP,MASCULINO,BRANCA,59.0,1872719.0,BENS_G1,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,222
ELIELTON LIRA,AVANTE,Centro,PA,MASCULINO,BRANCA,38.0,300000.0,BENS_G2,SUPERIOR COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,700
ORLANDO PESSUTI,MDB,Centro,PR,MASCULINO,BRANCA,69.0,3908867.0,BENS_G1,SUPERIOR COMPLETO,VETERINÁRIO,N,NÃO DIVULGÁVEL,155
JOEL RODRIGUES,PP,Direita,PI,MASCULINO,PRETA,53.0,1189872.0,BENS_G1,SUPERIOR COMPLETO,CONTADOR,N,NÃO DIVULGÁVEL,111
MANDETTA,UNIÃO,Direita,MS,MASCULINO,BRANCA,58.0,748481.0,BENS_G2,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,444
TENENTE CORONEL SOUZA JÚNIOR,DC,Direita,DF,MASCULINO,PARDA,51.0,340500.0,BENS_G2,SUPERIOR COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,270
NAOMI DE ALMEIDA ,PCO,Esquerda,MG,MASCULINO,BRANCA,40.0,nan,nan,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,290
PROFESSORA DORINHA,UNIÃO,Direita,TO,FEMININO,BRANCA,58.0,720000.0,BENS_G2,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,444
ROMERO JUCÁ,MDB,Centro,RR,MASCULINO,BRANCA,68.0,170165.0,BENS_G3,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,156
MARISTELA ZANOTTO,PSC,Direita,RS,FEMININO,BRANCA,59.0,432426.0,BENS_G2,ENSINO FUNDAMENTAL COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,200
LUIZ CASTRO,PDT,Esquerda,AM,MASCULINO,BRANCA,64.0,836628.0,BENS_G1,SUPERIOR COMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,N,NÃO DIVULGÁVEL,123
GERALDO PINHO,PODE,Direita,RN,MASCULINO,BRANCA,41.0,1390036.0,BENS_G1,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,192
MARCELO BARRETO,PMN,Esquerda,BA,MASCULINO,PARDA,56.0,1715000.0,BENS_G1,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,333
ATAÍDES DE OLIVEIRA,PROS,Centro,TO,MASCULINO,BRANCA,63.0,38161972.0,BENS_G1,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,900
DESIREE,PDT,Esquerda,PR,FEMININO,BRANCA,47.0,205578.0,BENS_G3,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,123
DÁRIO BARBOSA,PSTU,Esquerda,RN,MASCULINO,PRETA,69.0,170000.0,BENS_G3,SUPERIOR COMPLETO,SERVIDOR PÚBLICO CIVIL APOSENTADO,N,NÃO DIVULGÁVEL,166
OZEAS COLARES,PODE,Direita,RR,MASCULINO,BRANCA,44.0,1200000.0,BENS_G1,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,190
RAFAEL MOTTA,PSB,Esquerda,RN,MASCULINO,BRANCA,36.0,1233893.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,400
GIDEON,AGIR,Direita,PA,MASCULINO,PRETA,35.0,nan,nan,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,360
LUIZ BARBOZA,NOVO,Direita,SC,MASCULINO,BRANCA,70.0,12260000.0,BENS_G1,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,300
ERIKA AMORIM,PSD,Direita,CE,FEMININO,BRANCA,43.0,539248.0,BENS_G2,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,555
DAYSE MEDEIROS,PSTU,Esquerda,PE,FEMININO,BRANCA,36.0,278791.0,BENS_G2,SUPERIOR COMPLETO,TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO),N,NÃO DIVULGÁVEL,160
IRANI GOMES,PRTB,Direita,MG,MASCULINO,BRANCA,48.0,166945.0,BENS_G3,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,280
ANDRE CECILIANO,PT,Esquerda,RJ,MASCULINO,BRANCA,54.0,2208025.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,133
SAULO ARCANGELI,PSTU,Esquerda,MA,MASCULINO,BRANCA,51.0,385000.0,BENS_G2,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,161
OMAR AZIZ,PSD,Direita,AM,MASCULINO,BRANCA,64.0,990133.0,BENS_G1,SUPERIOR COMPLETO,SENADOR,S,NÃO DIVULGÁVEL,555
JOE VALLE,PDT,Esquerda,DF,MASCULINO,BRANCA,58.0,1579396.0,BENS_G1,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,123
FLÁVIA ARRUDA,PL,Direita,DF,FEMININO,PARDA,43.0,1044708.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,222
DRA. VANDA MILANI,PROS,Centro,AC,FEMININO,BRANCA,69.0,623785.0,BENS_G2,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,900
ROBERTO ROCHA,PTB,Direita,MA,MASCULINO,PARDA,57.0,2417029.0,BENS_G1,SUPERIOR COMPLETO,SENADOR,S,NÃO DIVULGÁVEL,145
PASTOR IVO NOGUEIRA,DC,Direita,MA,MASCULINO,PRETA,65.0,nan,nan,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,277
DIRLENE MARQUES,PSTU,Esquerda,MG,FEMININO,BRANCA,76.0,280100.0,BENS_G2,SUPERIOR COMPLETO,SERVIDOR PÚBLICO CIVIL APOSENTADO,N,NÃO DIVULGÁVEL,161
DOUTORA RAISSA SOARES,PL,Direita,BA,FEMININO,BRANCA,53.0,10136.0,BENS_G4,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,222
LAZARA MERLEY,DC,Direita,TO,FEMININO,BRANCA,66.0,2090911.0,BENS_G1,SUPERIOR COMPLETO,FARMACÊUTICO,N,NÃO DIVULGÁVEL,271
ALEXANDRE BALDY,PP,Direita,GO,MASCULINO,PARDA,42.0,3162752.0,BENS_G1,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,111
BOMBEIRO SUZANA SOUZA,PMB,Direita,AL,FEMININO,BRANCA,44.0,26000.0,BENS_G4,SUPERIOR INCOMPLETO,BOMBEIRO MILITAR,N,NÃO DIVULGÁVEL,350
GUILHERME COELHO,PSDB,Centro,PE,MASCULINO,BRANCA,60.0,6638254.0,BENS_G1,SUPERIOR COMPLETO,ENGENHEIRO,N,NÃO DIVULGÁVEL,456
ROSE DE FREITAS,MDB,Centro,ES,FEMININO,BRANCA,74.0,804479.0,BENS_G1,SUPERIOR COMPLETO,SENADOR,S,NÃO DIVULGÁVEL,156
CACÁ LEÃO,PP,Direita,BA,MASCULINO,BRANCA,43.0,722078.0,BENS_G2,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,111
PAULO CASTELO BRANCO,PROS,Centro,PA,MASCULINO,BRANCA,62.0,nan,nan,SUPERIOR COMPLETO,JORNALISTA E REDATOR,N,NÃO DIVULGÁVEL,901
CORONEL DO VALLE,PROS,Centro,AL,MASCULINO,PARDA,54.0,nan,nan,SUPERIOR COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,900
SANDERSON MOURA,PSOL,Esquerda,AC,MASCULINO,BRANCA,46.0,350000.0,BENS_G2,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,500
POLLYANNA,PSB,Esquerda,PB,FEMININO,BRANCA,45.0,657829.0,BENS_G2,SUPERIOR COMPLETO,VETERINÁRIO,N,NÃO DIVULGÁVEL,400
MARCELO GUERREIRO,PRTB,Direita,RN,MASCULINO,BRANCA,55.0,3037046.0,BENS_G1,SUPERIOR COMPLETO,ENGENHEIRO,N,NÃO DIVULGÁVEL,282
PASTOR SILVESTRE,PMN,Esquerda,RN,MASCULINO,BRANCA,64.0,nan,nan,ENSINO FUNDAMENTAL INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,333
BARTÔ MACUXI,PSOL,Esquerda,RR,MASCULINO,INDÍGENA,53.0,nan,nan,ENSINO MÉDIO COMPLETO,ARTISTA PLÁSTICO E ASSEMELHADOS,N,NÃO DIVULGÁVEL,500
WELLINGTON DIAS,PT,Esquerda,PI,MASCULINO,INDÍGENA,60.0,1001901.0,BENS_G1,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,131
HENRI CLAY,PSOL,Esquerda,SE,MASCULINO,BRANCA,53.0,4003231.0,BENS_G1,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,500
FREITAS JR.,PSOL,Esquerda,RN,MASCULINO,BRANCA,35.0,3386.0,BENS_G4,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,500
ANDRE RIBEIRO,PDT,Esquerda,PB,MASCULINO,BRANCA,41.0,309057.0,BENS_G2,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,123
MANU JACOB,PSOL,Esquerda,GO,FEMININO,PRETA,37.0,198600.0,BENS_G3,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,500
ELCIMARA,PSTU,Esquerda,DF,FEMININO,BRANCA,41.0,214001.0,BENS_G3,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,161
EXPEDITO MENDONÇA,PCO,Esquerda,DF,MASCULINO,BRANCA,62.0,nan,nan,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,290
DR. JENILSON LEITE,PSB,Esquerda,AC,MASCULINO,PARDA,45.0,367211.0,BENS_G2,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,400
EXPEDITO JUNIOR,PSD,Direita,RO,MASCULINO,PARDA,59.0,138564.0,BENS_G3,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,555
FLÁVIO DINO,PSB,Esquerda,MA,MASCULINO,PARDA,54.0,825706.0,BENS_G1,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,N,NÃO DIVULGÁVEL,400
DELEGADA DANIELLE GARCIA,PODE,Direita,SE,FEMININO,BRANCA,46.0,742614.0,BENS_G2,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,190
CORONEL MENEZES,PL,Direita,AM,MASCULINO,PARDA,59.0,3353529.0,BENS_G1,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,222
DELEGADO WALDIR,UNIÃO,Direita,GO,MASCULINO,PARDA,60.0,1104284.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,444
ROSANE FERREIRA,PV,Esquerda,PR,FEMININO,BRANCA,59.0,362851.0,BENS_G2,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,433
RENATA FONSECA,PRTB,Direita,PA,FEMININO,PARDA,37.0,nan,nan,SUPERIOR COMPLETO,POLICIAL CIVIL,N,NÃO DIVULGÁVEL,289
MAURICIO COSTA,PATRIOTA,Direita,RR,MASCULINO,PARDA,71.0,333700.0,BENS_G2,SUPERIOR INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,511
OTTO ALENCAR,PSD,Direita,BA,MASCULINO,BRANCA,75.0,2476200.0,BENS_G1,SUPERIOR COMPLETO,SENADOR,S,NÃO DIVULGÁVEL,555
MARCIA BITTAR,PL,Direita,AC,FEMININO,PARDA,59.0,1625000.0,BENS_G1,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,222
GEORGE MÁGNO,PSOL,Esquerda,PI,MASCULINO,PRETA,49.0,nan,nan,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,500
DAVI DAVINO FILHO,PP,Direita,AL,MASCULINO,BRANCA,35.0,1030242.0,BENS_G1,SUPERIOR INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,111
HIRAN ROEDEL,PCB,Esquerda,RJ,MASCULINO,BRANCA,61.0,433000.0,BENS_G2,SUPERIOR COMPLETO,SERVIDOR PÚBLICO CIVIL APOSENTADO,N,NÃO DIVULGÁVEL,211
TERESA LEITÃO,PT,Esquerda,PE,FEMININO,BRANCA,71.0,244436.0,BENS_G3,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,130
DELEGADO JARDEL,PODE,Direita,PA,MASCULINO,PARDA,50.0,488000.0,BENS_G2,SUPERIOR COMPLETO,POLICIAL CIVIL,N,NÃO DIVULGÁVEL,190
PIONEIRO,PSDB,Centro,PA,MASCULINO,BRANCA,65.0,9268713.0,BENS_G1,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,456
PROFESSOR JOÃO SANTIAGO,PSTU,Esquerda,PA,MASCULINO,BRANCA,58.0,nan,nan,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,160
PROFESSOR NADO,AVANTE,Centro,RS,MASCULINO,BRANCA,58.0,350000.0,BENS_G2,SUPERIOR COMPLETO,PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,N,NÃO DIVULGÁVEL,700
CAMILO,PT,Esquerda,CE,MASCULINO,BRANCA,54.0,607371.0,BENS_G2,SUPERIOR COMPLETO,AGRÔNOMO,N,NÃO DIVULGÁVEL,131
MANCHA COLETIVO SOCIALISTA,PSTU,Esquerda,SP,MASCULINO,PRETA,67.0,691364.0,BENS_G2,SUPERIOR INCOMPLETO,TRABALHADOR METALÚRGICO E SIDERÚRGICO,N,NÃO DIVULGÁVEL,161
RAYSSA FURLAN,MDB,Centro,AP,FEMININO,BRANCA,35.0,1396733.0,BENS_G1,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,151
